[INFO ] 2024-03-29 21:26:06.308 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R01 is Successfully <===>
[INFO ] 2024-03-29 21:26:06.577 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R02 is Successfully <===>
[INFO ] 2024-03-29 21:26:06.843 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R03 is Successfully <===>
[INFO ] 2024-03-29 21:28:25.965 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 21:28:26.594 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 21:28:26.820 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 21:28:28.203 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 21:28:28.523 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=all is Successfully <===>
[INFO ] 2024-03-29 21:28:28.754 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R01 is Successfully <===>
[INFO ] 2024-03-29 21:28:28.988 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R02 is Successfully <===>
[INFO ] 2024-03-29 21:28:29.234 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R03 is Successfully <===>
[INFO ] 2024-03-29 22:09:25.486 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 22:09:26.164 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 22:09:26.454 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 22:09:27.697 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 22:09:28.078 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=all is Successfully <===>
[INFO ] 2024-03-29 22:09:28.325 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R01 is Successfully <===>
[INFO ] 2024-03-29 22:09:28.578 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R02 is Successfully <===>
[INFO ] 2024-03-29 22:09:28.821 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R03 is Successfully <===>
[INFO ] 2024-03-29 22:10:02.515 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 22:10:03.160 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 22:10:03.382 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 22:10:04.252 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 22:10:04.495 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=all is Successfully <===>
[INFO ] 2024-03-29 22:10:04.706 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R01 is Successfully <===>
[INFO ] 2024-03-29 22:10:04.953 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R02 is Successfully <===>
[INFO ] 2024-03-29 22:10:05.186 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R03 is Successfully <===>
[INFO ] 2024-03-29 22:12:52.970 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 22:12:54.714 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 22:12:55.039 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 22:12:56.170 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 22:12:56.468 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=all is Successfully <===>
[INFO ] 2024-03-29 22:12:56.759 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R01 is Successfully <===>
[INFO ] 2024-03-29 22:12:57.097 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R02 is Successfully <===>
[INFO ] 2024-03-29 22:12:57.362 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R03 is Successfully <===>
[INFO ] 2024-03-29 22:13:48.305 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 22:13:48.997 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 22:13:49.214 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 22:13:50.111 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 22:13:50.438 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=all is Successfully <===>
[INFO ] 2024-03-29 22:13:50.700 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R01 is Successfully <===>
[INFO ] 2024-03-29 22:13:51.001 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R02 is Successfully <===>
[INFO ] 2024-03-29 22:13:51.292 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R03 is Successfully <===>
[INFO ] 2024-03-29 22:22:37.985 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 22:22:38.663 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 22:22:38.947 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 22:22:39.930 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 22:22:40.204 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=all is Successfully <===>
[INFO ] 2024-03-29 22:22:40.450 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R01 is Successfully <===>
[INFO ] 2024-03-29 22:22:40.710 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R02 is Successfully <===>
[INFO ] 2024-03-29 22:22:40.908 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R03 is Successfully <===>
[INFO ] 2024-03-29 22:36:38.597 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsers is Successfully <===>
[INFO ] 2024-03-29 22:36:39.210 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllRoles is Successfully <===>
[INFO ] 2024-03-29 22:36:39.430 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetAllUsersWithRole is Successfully <===>
[INFO ] 2024-03-29 22:36:40.272 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: GetUserByUserId is Successfully <===>
[INFO ] 2024-03-29 22:36:40.492 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=all is Successfully <===>
[INFO ] 2024-03-29 22:36:40.726 [main] LoggerLoad - <===>Testcase for Get request with Endpoints: https://lms-marchapi-hackathon-a258d2bbd43b.herokuapp.com/lms/users/byStatus?id=R01 is Successfully <===>
